as_of,group,n,median_growth,mean_growth,pct_doubled,pct_dropped_out,median_value_at_as_of,total_fees_eur
2024-01-01,shortlist,317,0.6666666666666667,2.434868921206832,0.42902208201892744,0.0,1000000.0,
2024-01-01,control_u23,236,0.25,0.69935292107818,0.288135593220339,0.0,12000000.0,
2024-01-01,panathinaikos_signings,46,-0.16666666666666663,0.01586834511299751,,,,36960000.0
