quartile,n,median_growth,median_delta_eur,pct_doubled,median_value_at_as_of
Q1 (worst),72,0.6904761904761905,425000.0,0.4583333333333333,537500.0
Q2,70,0.25,200000.0,0.35714285714285715,800000.0
Q3,71,0.6666666666666667,500000.0,0.4225352112676056,1000000.0
Q4 (best),71,1.5,2000000.0,0.5633802816901409,1200000.0
