player_id,player_name,age,position_group,league_name,tier,value_at_as_of,minutes_played,performance_score,trajectory_score,availability_score,composite_score,confidence,has_xg,value_after,value_after_date,last_valuation,dropped_out,value_growth,value_delta_eur,doubled,horizon_end,value_bucket
685145,Filip Bundgaard,19.496235455167692,Attack,Danish Superliga,3,1500000,1266.0,34.5,88.6,2.6,47.1,medium,False,2500000,2025-12-15,2026-05-25,False,0.6666666666666667,1000000,False,2026-01-01,1-2M
697277,Joel Chima Fujita,21.872689938398356,Midfield,Pro League,2,800000,890.0,40.1,59.7,40.0,46.9,medium,False,8000000,2025-12-19,2026-05-27,False,9.0,7200000,True,2026-01-01,0.5-1M
842479,Kenneth Vargas,21.70841889117043,Attack,Scottish Premiership,3,300000,1620.0,37.0,75.0,20.2,46.9,medium,False,750000,2025-12-30,2026-05-29,False,1.5,450000,True,2026-01-01,<0.5M
708241,Oleg Ocheretko,20.605065023956193,Midfield,Ukrainian Premier League,3,600000,1095.0,33.2,90.6,0.1,46.7,medium,False,6000000,2025-12-18,2026-06-02,False,9.0,5400000,True,2026-01-01,0.5-1M
528652,Mathias Kjølø,22.51334702258727,Midfield,Eredivisie,2,2800000,2248.0,29.5,89.5,10.7,46.7,medium,False,1500000,2025-12-02,2026-05-28,False,-0.4642857142857143,-1300000,False,2026-01-01,2-4M
1110406,Ibrahim Osman,19.08829568788501,Attack,Danish Superliga,3,1500000,1314.0,34.3,88.7,0.6,46.6,medium,False,8000000,2025-12-15,2026-05-28,False,4.333333333333333,6500000,True,2026-01-01,1-2M
749552,Alieu Fadera,22.16016427104723,Attack,Pro League,2,3000000,969.0,50.5,66.6,2.6,46.6,medium,False,4500000,2025-12-23,2026-05-29,False,0.5,1500000,False,2026-01-01,2-4M
766412,Théo Le Bris,21.251197809719372,Midfield,Ligue 1,1,2500000,1512.0,39.8,75.5,10.7,46.5,medium,False,2000000,2025-12-15,2026-06-01,False,-0.19999999999999996,-500000,False,2026-01-01,2-4M
455728,Nikita Motpan,22.458590006844627,Midfield,Russian Premier Liga,2,700000,1215.0,34.4,68.8,34.9,46.5,medium,False,400000,2025-12-03,2026-05-25,False,-0.4285714285714286,-300000,False,2026-01-01,0.5-1M
490967,Andri Gudjohnsen,21.921971252566735,Attack,Danish Superliga,3,1500000,1461.0,42.0,77.4,2.6,46.5,medium,False,2000000,2025-12-03,2026-05-28,False,0.33333333333333326,500000,False,2026-01-01,1-2M
734487,Calem Nieuwenhof,22.869267624914443,Midfield,Scottish Premiership,3,450000,1859.0,39.0,75.9,10.7,46.3,medium,False,800000,2025-12-10,2026-05-20,False,0.7777777777777777,350000,False,2026-01-01,<0.5M
1045187,Igor Krasnopir,21.084188911704313,Attack,Ukrainian Premier League,3,300000,2062.0,34.0,88.3,0.6,46.3,medium,False,1000000,2025-12-18,2026-06-02,False,2.3333333333333335,700000,True,2026-01-01,<0.5M
624913,Parfait Guiagon,22.855578370978783,Attack,Pro League,2,1800000,1375.0,46.3,71.0,2.6,46.2,medium,False,4000000,2025-12-10,2026-06-04,False,1.2222222222222223,2200000,True,2026-01-01,1-2M
646108,Louicius Deedson,22.885694729637233,Attack,Danish Superliga,3,700000,1210.0,48.9,68.2,1.2,46.1,medium,False,1200000,2025-12-11,2026-06-02,False,0.7142857142857142,500000,False,2026-01-01,0.5-1M
549027,Martim Neto,20.9637234770705,Midfield,Liga Portugal,2,2500000,1873.0,35.4,84.5,2.6,46.0,medium,False,5000000,2025-12-12,2026-06-05,False,1.0,2500000,True,2026-01-01,2-4M
699418,Jakub Kaluzinski,21.169062286105408,Midfield,Super Lig,2,1000000,2327.0,36.1,84.6,0.6,46.0,medium,False,4000000,2025-12-17,2026-05-21,False,3.0,3000000,True,2026-01-01,0.5-1M
587298,Pelle Mattsson,22.409308692676248,Midfield,Danish Superliga,3,500000,1778.0,31.0,90.1,2.6,46.0,medium,False,3000000,2025-12-03,2025-12-03,False,5.0,2500000,True,2026-01-01,<0.5M
789583,Yaroslav Karabin,21.117043121149898,Attack,Ukrainian Premier League,3,250000,669.0,38.0,81.2,2.6,46.0,medium,False,500000,2025-12-18,2026-06-02,False,1.0,250000,True,2026-01-01,<0.5M
502298,Thomas Van den Keybus,22.68583162217659,Midfield,Pro League,2,1000000,1270.0,46.3,65.4,10.7,45.9,medium,False,800000,2025-12-10,2026-06-04,False,-0.19999999999999996,-200000,False,2026-01-01,0.5-1M
453870,Benedict Hollerbach,22.625598904859686,Attack,Bundesliga,1,1800000,1283.0,46.5,70.6,0.6,45.8,medium,False,10000000,2025-12-19,2026-05-27,False,4.555555555555555,8200000,True,2026-01-01,1-2M
685854,Ruslan Bezrukov,21.782340862423,Midfield,Russian Premier Liga,2,700000,1333.0,44.0,73.7,0.6,45.7,medium,False,1000000,2025-12-16,2026-05-26,False,0.4285714285714286,300000,False,2026-01-01,0.5-1M
615302,Mirko Topić,22.902121834360027,Midfield,Liga Portugal,2,2500000,2350.0,37.0,82.0,0.6,45.5,medium,False,5000000,2025-12-03,2026-05-28,False,1.0,2500000,True,2026-01-01,2-4M
763182,Josué Casimir,22.269678302532512,Attack,Ligue 1,1,2000000,2028.0,35.0,83.5,2.6,45.5,medium,False,3500000,2025-12-15,2026-06-01,False,0.75,1500000,False,2026-01-01,1-2M
924857,Lennon Miller,17.352498288843258,Midfield,Scottish Premiership,3,800000,1359.0,31.0,89.6,0.1,45.3,medium,False,8000000,2025-12-23,2026-05-29,False,9.0,7200000,True,2026-01-01,0.5-1M
