player_id,player_name,age,position_group,league_name,tier,value_at_as_of,minutes_played,performance_score,trajectory_score,availability_score,composite_score,confidence,has_xg,value_after,value_after_date,last_valuation,dropped_out,value_growth,value_delta_eur,doubled,horizon_end,value_bucket
443855,Nick Bätzner,22.798083504449007,Midfield,Pro League,2,1300000,1898.0,78.6,64.3,70.6,72.0,medium,False,1100000,2023-06-09,2023-06-09,False,-0.15384615384615385,-200000,False,2025-01-01,1-2M
564449,Million Manhoef,20.993839835728952,Attack,Eredivisie,2,800000,2337.0,67.7,95.6,40.0,71.9,medium,False,3500000,2024-05-24,2024-05-24,False,3.375,2700000,True,2025-01-01,0.5-1M
467437,Malik Tillman,20.5968514715948,Midfield,Scottish Premiership,3,2800000,1943.0,82.8,96.6,0.0,71.1,medium,False,30000000,2024-12-17,2026-05-27,False,9.714285714285714,27200000,True,2025-01-01,2-4M
537854,Artem Bondarenko,22.362765229295004,Midfield,Ukrainian Premier League,3,4000000,2205.0,84.6,90.3,0.3,69.7,medium,False,10000000,2024-12-17,2026-06-02,False,1.5,6000000,True,2025-01-01,2-4M
406609,Can Bozdogan,21.741273100616016,Midfield,Eredivisie,2,4000000,1559.0,72.0,83.5,40.0,69.6,medium,False,4500000,2024-12-17,2026-05-28,False,0.125,500000,False,2025-01-01,2-4M
406640,Felix Nmecha,22.2258726899384,Midfield,Bundesliga,1,3000000,1836.0,83.6,91.0,0.0,69.5,medium,False,28000000,2024-12-20,2026-05-27,False,8.333333333333334,25000000,True,2025-01-01,2-4M
648046,Evan Ferguson,18.20123203285421,Attack,Premier League,1,1000000,950.0,77.0,99.3,0.1,69.4,medium,False,40000000,2024-12-16,2026-05-29,False,39.0,39000000,True,2025-01-01,0.5-1M
708265,Bradley Barcola,20.331279945242983,Attack,Ligue 1,1,2000000,1437.0,84.3,87.1,0.6,68.5,medium,False,65000000,2024-12-10,2026-06-01,False,31.5,63000000,True,2025-01-01,1-2M
395242,Alexis Flips,22.954140999315538,Midfield,Ligue 1,1,3000000,1996.0,84.3,85.1,0.6,67.8,medium,False,1800000,2024-12-11,2026-06-04,False,-0.4,-1200000,False,2025-01-01,2-4M
422281,Muhammed Cham,22.26420260095825,Midfield,Ligue 1,1,4000000,1974.0,86.4,80.5,2.6,67.6,medium,False,5500000,2024-12-23,2026-05-20,False,0.375,1500000,False,2025-01-01,2-4M
876631,Habib Diarra,18.99520876112252,Midfield,Ligue 1,1,3000000,1628.0,72.4,98.8,0.0,67.2,medium,False,20000000,2024-12-10,2026-06-03,False,5.666666666666667,17000000,True,2025-01-01,2-4M
578804,Sven Mijnans,22.8145106091718,Midfield,Eredivisie,2,1000000,2649.0,88.3,77.3,0.0,66.8,medium,False,6500000,2024-12-17,2026-05-28,False,5.5,5500000,True,2025-01-01,0.5-1M
738720,Mathieu Cachbach,21.609856262833677,Midfield,Pro League,2,600000,1710.0,44.0,93.7,70.6,66.7,medium,False,500000,2023-06-09,2023-06-09,False,-0.16666666666666663,-100000,False,2025-01-01,0.5-1M
855015,Farès Chaïbi,20.093086926762492,Midfield,Ligue 1,1,4000000,2345.0,83.6,81.5,0.6,66.3,medium,False,14000000,2024-12-20,2026-05-27,False,2.5,10000000,True,2025-01-01,2-4M
535959,Duk,22.874743326488705,Attack,Scottish Premiership,3,500000,2218.0,80.3,82.0,2.6,65.4,medium,False,1200000,2024-12-03,2025-12-30,False,1.4,700000,True,2025-01-01,<0.5M
610335,Iván Jaime,22.26420260095825,Midfield,Liga Portugal,2,800000,1881.0,86.6,69.0,10.7,65.3,medium,False,7000000,2024-12-19,2026-06-02,False,7.75,6200000,True,2025-01-01,0.5-1M
536480,Lucas Bernadou,22.269678302532512,Midfield,Eredivisie,2,750000,1894.0,64.6,79.5,40.0,64.9,medium,False,750000,2023-06-23,2023-06-23,False,0.0,0,False,2025-01-01,0.5-1M
393238,Zakaria Aboukhlal,22.869267624914443,Attack,Ligue 1,1,3500000,2479.0,77.7,85.4,0.1,64.9,medium,False,10000000,2024-12-10,2026-05-29,False,1.8571428571428572,6500000,True,2025-01-01,2-4M
746180,Nikita Krivtsov,20.372347707049965,Midfield,Russian Premier Liga,2,1500000,1285.0,77.6,85.2,0.1,64.8,medium,False,3500000,2024-12-12,2026-05-26,False,1.3333333333333335,2000000,True,2025-01-01,1-2M
