player_id,player_name,transfer_date,transfer_season,from_club_name,transfer_fee,value_at_signing,value_now,value_at_as_of,value_after,value_growth,value_delta_eur,doubled,value_bucket
906748,Vicente Taborda,2025-09-02,25/26,Boca Juniors,4300000.0,4000000.0,4000000,4000000.0,4000000,0.0,0.0,False,2-4M
317806,Cyriel Dessers,2025-09-01,25/26,Rangers,4630000.0,4000000.0,3000000,4000000.0,3000000,-0.25,-1000000.0,False,2-4M
615639,Milos Pantovic,2025-08-31,25/26,FK TSC,1500000.0,3500000.0,2500000,3500000.0,2500000,-0.2857142857142857,-1000000.0,False,2-4M
258027,Renato Sanches,2025-08-24,25/26,PSG,0.0,3000000.0,2000000,3000000.0,2000000,-0.33333333333333337,-1000000.0,False,2-4M
262523,Davide Calabria,2025-08-17,25/26,AC Milan,0.0,4500000.0,4500000,4500000.0,4500000,0.0,0.0,False,>4M
491296,Anass Zaroury,2025-08-03,25/26,Lens,0.0,8000000.0,7000000,8000000.0,7000000,-0.125,-1000000.0,False,>4M
242637,Konstantinos Kotsaris,2025-07-21,25/26,Kalamata,0.0,450000.0,450000,450000.0,450000,0.0,0.0,False,<0.5M
357117,Alban Lafont,2025-07-17,25/26,FC Nantes,0.0,3000000.0,3000000,3000000.0,3000000,0.0,0.0,False,2-4M
242273,Pedro Chirivella,2025-07-01,25/26,FC Nantes,2000000.0,5000000.0,5000000,5000000.0,5000000,0.0,0.0,False,>4M
311178,Georgios Kyriakopoulos,2025-07-01,25/26,Monza,2000000.0,2500000.0,2000000,2500000.0,2000000,-0.19999999999999996,-500000.0,False,2-4M
325924,Ahmed Touba,2025-07-01,25/26,Basaksehir,1000000.0,2500000.0,2500000,2500000.0,2500000,0.0,0.0,False,2-4M
1077461,Giannis Bokos,2025-07-01,25/26,PAO U19,,,300000,,300000,,,False,
182581,Tonny Vilhena,2025-06-30,24/25,Alanyaspor,0.0,1300000.0,500000,1300000.0,500000,-0.6153846153846154,-800000.0,False,1-2M
323740,Aitor Cantalapiedra,2025-06-30,24/25,AEK Larnaca,0.0,1800000.0,1800000,1800000.0,1800000,0.0,0.0,False,1-2M
553229,Miguel Tavares,2025-06-30,24/25,Panachaiki,0.0,250000.0,200000,250000.0,200000,-0.19999999999999996,-50000.0,False,<0.5M
898021,Georgios Kyriopoulos,2025-06-30,24/25,Kifisia,0.0,350000.0,300000,350000.0,300000,-0.1428571428571429,-50000.0,False,<0.5M
182688,Manolis Siopis,2025-01-31,24/25,Cardiff,800000.0,2200000.0,1200000,2200000.0,1200000,-0.4545454545454546,-1000000.0,False,2-4M
553229,Miguel Tavares,2025-01-28,24/25,Makedonikos,0.0,200000.0,200000,200000.0,200000,0.0,0.0,False,<0.5M
330126,Karol Świderski,2025-01-23,24/25,Charlotte,1900000.0,5000000.0,4500000,5000000.0,4500000,-0.09999999999999998,-500000.0,False,>4M
668684,Konstantinos Lampsias,2024-12-31,24/25,PAS Giannina,0.0,100000.0,50000,100000.0,50000,-0.5,-50000.0,False,<0.5M
593482,Azzedine Ounahi,2024-09-04,24/25,Marseille,0.0,12000000.0,10000000,12000000.0,10000000,-0.16666666666666663,-2000000.0,False,>4M
676318,Facundo Pellistri,2024-08-21,24/25,Man Utd,6000000.0,10000000.0,5000000,10000000.0,5000000,-0.5,-5000000.0,False,>4M
111275,Philipp Max,2024-08-05,24/25,Frankfurt,1000000.0,2000000.0,600000,2000000.0,600000,-0.7,-1400000.0,False,1-2M
371256,Tetê,2024-07-25,24/25,Galatasaray,5750000.0,10000000.0,9000000,10000000.0,9000000,-0.09999999999999998,-1000000.0,False,>4M
137648,Sverrir Ingi Ingason,2024-07-15,24/25,Midtjylland,3080000.0,4000000.0,1800000,4000000.0,1800000,-0.55,-2200000.0,False,2-4M
146690,George Baldock,2024-07-01,24/25,Sheff Utd,0.0,2500000.0,2000000,2500000.0,2000000,-0.19999999999999996,-500000.0,False,2-4M
206386,Tin Jedvaj,2024-07-01,24/25,Loko Moscow,500000.0,2500000.0,2000000,2500000.0,2000000,-0.19999999999999996,-500000.0,False,2-4M
208166,Bartłomiej Drągowski,2024-07-01,24/25,Spezia Calcio,1500000.0,2500000.0,2000000,2500000.0,2000000,-0.19999999999999996,-500000.0,False,2-4M
273152,Nemanja Maksimovic,2024-07-01,24/25,Getafe,0.0,6000000.0,4000000,6000000.0,4000000,-0.33333333333333337,-2000000.0,False,>4M
553229,Miguel Tavares,2024-07-01,24/25,Panathinaikos B,,125000.0,200000,125000.0,200000,0.6000000000000001,75000.0,False,<0.5M
668684,Konstantinos Lampsias,2024-07-01,24/25,Panathinaikos B,,100000.0,50000,100000.0,50000,-0.5,-50000.0,False,<0.5M
808866,Klidman Lilo,2024-07-01,24/25,Panathinaikos B,,100000.0,500000,100000.0,500000,4.0,400000.0,True,<0.5M
898020,Athanasios Dabizas,2024-07-01,24/25,Panathinaikos B,,75000.0,75000,75000.0,75000,0.0,0.0,False,<0.5M
898021,Georgios Kyriopoulos,2024-07-01,24/25,Panathinaikos B,,125000.0,300000,125000.0,300000,1.4,175000.0,True,<0.5M
937168,Elton Fikaj,2024-07-01,24/25,Panathinaikos B,,200000.0,300000,200000.0,300000,0.5,100000.0,False,<0.5M
1008755,Adriano Bregou,2024-07-01,24/25,PAO U19,,,500000,,500000,,,False,
1033404,Georgios Karakasidis,2024-07-01,24/25,PAO U19,,100000.0,75000,100000.0,75000,-0.25,-25000.0,False,<0.5M
1047109,Georgios Katris,2024-07-01,24/25,Panathinaikos B,,100000.0,500000,100000.0,500000,4.0,400000.0,True,<0.5M
220656,László Kleinheisler,2024-06-30,23/24,Hajduk Split,0.0,1500000.0,200000,1500000.0,200000,-0.8666666666666667,-1300000.0,False,1-2M
482769,Alexis Trouillet,2024-06-30,23/24,Volos NPS,0.0,900000.0,900000,900000.0,900000,0.0,0.0,False,0.5-1M
532390,Georgios Nikas,2024-06-30,23/24,Levadiakos,0.0,450000.0,450000,450000.0,450000,0.0,0.0,False,<0.5M
644244,Enis Cokaj,2024-06-30,23/24,NK Osijek,0.0,850000.0,1000000,850000.0,1000000,0.17647058823529416,150000.0,False,0.5-1M
149752,Vitor Hugo,2024-01-23,23/24,EC Bahia,0.0,2500000.0,500000,2500000.0,500000,-0.8,-2000000.0,False,2-4M
162571,Anastasios Bakasetas,2024-01-22,23/24,Trabzonspor,1000000.0,9000000.0,3000000,9000000.0,3000000,-0.6666666666666667,-6000000.0,False,>4M
208166,Bartłomiej Drągowski,2024-01-19,23/24,Spezia Calcio,0.0,2400000.0,2000000,2400000.0,2000000,-0.16666666666666663,-400000.0,False,2-4M
295024,Samet Akaydin,2024-01-14,23/24,Fenerbahçe,0.0,2800000.0,1200000,2800000.0,1200000,-0.5714285714285714,-1600000.0,False,2-4M
